Property URL,Property price,Sold date (MM/DD/YYYY),Living Area,Living Area Unit,Lot size,Lot size unit,Price per sqft,Broker name,Broker agent,Street Address,City,State,Zip,Country,Bedrooms,Bathrooms
https://www.zillow.com/homedetails/1525-Riverside-Ave-St-Charles-IL-60174/4663380_zpid/,260000,11/04/2022,964,sqft,,,269.71,Re/max Suburban,,1525 Riverside Ave,St Charles,IL,60174,USA,1,1
https://www.zillow.com/homedetails/1237-Edwards-Ave-Saint-Charles-IL-60174/4664118_zpid/,285000,11/03/2022,1104,sqft,,,258.15,Partners Real Estate Of Il,,1237 Edwards Ave,Saint Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/7N111-Tuscola-Ave-Saint-Charles-IL-60174/112447785_zpid/,9900,11/02/2022,0,sqft,6534,sqft,,Beycome Brokerage Realty,,7N111 Tuscola Ave,Saint Charles,IL,60174,USA,,
https://www.zillow.com/homedetails/69-Highgate-Crse-St-Charles-IL-60174/4657689_zpid/,580108,11/02/2022,4142,sqft,,,140.06,Keller Williams Inspire - Geneva,,69 Highgate Crse,St Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/1015-Independence-Ave-St-Charles-IL-60174/4663863_zpid/,355000,11/02/2022,1604,sqft,,,221.32,Willow Real Estate,,1015 Independence Ave,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/153-S-19th-St-St-Charles-IL-60174/4660959_zpid/,310000,11/01/2022,1448,sqft,,,214.09,Coldwell Banker Realty,,153 S 19th St,St Charles,IL,60174,USA,3,2
https://www.zillow.com/homedetails/1120-S-10th-St-St-Charles-IL-60174/4661861_zpid/,390000,11/01/2022,1341,sqft,,,290.83,Re/max Excels,,1120 S 10th St,St Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/1508-Williams-Ave-Saint-Charles-IL-60174/4663960_zpid/,351000,11/01/2022,1200,sqft,,,292.5,Compass,,1508 Williams Ave,Saint Charles,IL,60174,USA,5,2
https://www.zillow.com/homedetails/519-Pheasant-Trl-Saint-Charles-IL-60174/4360200_zpid/,289000,10/31/2022,1914,sqft,,,150.99,Coldwell Banker Realty,,519 Pheasant Trl,Saint Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/717-Manley-Rd-Saint-Charles-IL-60174/4660386_zpid/,425000,10/31/2022,2415,sqft,,,175.98,Re/max Excels,,717 Manley Rd,Saint Charles,IL,60174,USA,4,3
https://www.zillow.com/homedetails/1603-Shoreline-Dr-Saint-Charles-IL-60174/4657052_zpid/,532000,10/27/2022,3200,sqft,,,166.25,Coldwell Banker Realty,,1603 Shoreline Dr,Saint Charles,IL,60174,USA,3,3
https://www.zillow.com/homedetails/211-Indiana-Ave-Saint-Charles-IL-60174/4662313_zpid/,385000,10/27/2022,2127,sqft,,,181.01,Coldwell Banker Realty,,211 Indiana Ave,Saint Charles,IL,60174,USA,4,2
https://www.zillow.com/homedetails/50-S-1st-St-3B-Saint-Charles-IL-60174/2079400489_zpid/,600000,10/26/2022,1863,sqft,,,322.06,Premier Living Properties,,50 S 1st St #3B,Saint Charles,IL,60174,USA,2,2
